id,name,age,country,signup_date,purchase_amount,tax,total_cost
1,User_1,30,USA,2021-01-15,500.0,0.1,50.0
2,User_2,,NaN,,200.0,0.05,NaN
3,User_3,N/A,UK,20220315,error,?,error
4,User_4,45,Germany,20250123,300.0,0.08,24.0
5,User_5,150,France,2022-05-01,-500.0,5.0,-2500.0
1,User_1,30,USA,2021-01-15,500.0,0.1,50.0
7,User_7,28,India,2020-06-10,123.45,0.07,8.64
8,User_8,21,Canada,2024-10-24,236.2,0.18,42.52
9,User_9,23,Israel,2024-07-01,302.53,0.17,51.43
10,User_10,51,India,2022-08-10,803.8,0.15,120.57
11,User_11,61,Japan,2022-06-26,141.35,0.04,5.65
12,User_12,62,France,2021-03-18,301.23,0.12,36.15
13,User_13,41,UK,2020-08-28,261.72,0.15,39.26
14,User_14,54,Japan,2023-12-23,106.59,0.1,10.66
15,User_15,59,Germany,2024-06-23,299.3,0.13,38.91
16,User_16,60,India,2021-11-05,728.36,0.08,58.27
14,User_14,54,Japan,2023-12-23,106.59,0.1,10.66
18,User_18,22,Israel,2024-02-07,983.91,0.17,167.26
19,User_19,40,UK,2024-09-14,637.01,0.04,25.48
20,User_20,30,Germany,2021-04-15,113.97,0.15,17.1
7,User_7,28,India,2020-06-10,123.45,0.07,8.64
22,User_22,30,France,2021-05-29,242.68,0.09,21.84
23,User_23,61,Israel,2021-02-11,140.18,0.09,12.62
24,User_24,44,India,2020-01-23,956.63,0.11,105.23
25,User_25,999,India,2022-12-29,644.56,0.05,32.23
26,User_26,57,USA,2024-11-01,316.4,0.14,44.3
20,User_20,30,Germany,2021-04-15,113.97,0.15,17.1
28,User_28,59,Germany,2024-11-07,462.12,0.07,32.35
29,User_29,54,UK,2024-04-03,error,0.11,62.18
30,User_30,64,UK,NaN,558.8,0.06,33.53
31,User_31,52,Germany,2020-05-21,963.11,0.11,105.94
32,User_32,18,USA,2023-09-01,930.5,0.08,74.44
33,User_33,60,Japan,2024-11-08,525.73,0.15,78.86
34,User_34,68,Japan,2024-04-29,505.17,0.14,70.72
35,User_35,54,Israel,2024-09-22,31.61,0.08,2.53
36,User_36,24,India,2023-12-02,96.66,0.17,16.43
37,User_37,69,Germany,2020-04-15,851.7,0.13,110.72
38,User_38,48,UK,2024-02-13,312.75,0.11,34.4
39,User_39,40,India,2022-04-27,90.19,0.15,13.53
40,User_40,31,USA,2020-04-06,642.33,0.17,109.2
41,User_41,70,USA,2021-11-26,589.61,0.12,70.75
42,User_42,40,Israel,2023-10-14,293.62,0.11,32.3
43,User_43,45,India,2021-02-09,401.25,0.05,20.06
44,User_44,34,Germany,2022-06-06,273.33,0.15,41.0
45,User_45,33,France,2022-06-26,638.35,0.14,89.37
46,User_46,35,France,2024-01-09,971.06,0.16,155.37
47,User_47,70,Canada,2021-08-27,270.07,0.08,21.61
48,User_48,18,UK,2020-01-12,897.66,0.11,98.74
49,User_49,62,Canada,2024-06-24,249.13,0.05,12.46
50,User_50,60,Japan,2022-01-16,277.51,0.16,44.4
51,User_51,68,Canada,2021-10-22,885.78,0.15,132.87
52,User_52,33,India,2024-07-10,452.85,0.16,72.46
53,User_53,30,Israel,2020-06-19,338.79,0.15,50.82
54,User_54,33,Israel,2022-03-01,814.78,0.08,65.18
55,User_55,66,Germany,20231013,975.59,0.13,126.83
56,User_56,52,NaN,2020-04-16,201.21,0.14,28.17
57,User_57,18,France,2021-10-01,34.46,0.06,2.07
58,User_58,68,UK,2020-06-13,566.65,0.11,62.33
59,User_59,52,UK,2020-03-04,186.7,0.09,16.8
60,User_60,34,USA,2022-03-13,707.61,0.08,56.61
61,User_61,52,Germany,2020-02-23,439.11,0.14,61.48
62,User_62,20,USA,2023-09-03,397.47,0.09,35.77
63,User_63,65,UK,2024-04-12,193.98,0.14,27.16
64,User_64,21,UK,2022-11-08,363.16,0.09,32.68
51,User_51,68,Canada,2021-10-22,885.78,0.15,132.87
66,User_66,70,France,2020-05-01,507.92,0.11,55.87
67,User_67,41,Israel,2021-10-25,685.81,0.1,68.58
68,User_68,33,Japan,2022-11-13,300.92,0.11,33.1
69,User_69,22,France,2022-07-09,-50.5,0.1,-5.05
70,User_70,37,UK,2024-05-22,609.34,0.05,30.47
71,User_71,32,Germany,2020-11-14,46.81,0.18,8.43
68,User_68,33,Japan,2022-11-13,300.92,0.11,33.1
73,User_73,55,UK,2023-09-08,46.68,0.17,7.94
74,User_74,58,Germany,2021-06-14,200.62,0.15,30.09
75,NaN,29,USA,2023-08-24,869.13,0.05,43.46
76,User_76,59,France,2021-10-06,866.83,0.15,130.02
42,User_42,40,Israel,2023-10-14,293.62,0.11,32.3
78,User_78,68,UK,2021-01-04,727.77,0.08,58.22
79,User_79,59,USA,2024-08-01,936.58,0.17,159.22
80,User_80,31,Germany,2020-07-27,960.12,0.05,48.01
81,User_81,65,NaN,2020-09-12,141.57,0.09,12.74
82,User_82,23,Germany,2021-07-17,568.07,0.13,73.85
83,User_83,39,USA,2023-08-26,926.87,0.04,37.07
84,User_84,39,UK,2022-12-26,124.91,0.11,13.74
85,User_85,18,USA,2020-12-16,985.45,0.12,118.25
86,User_86,41,France,2021-05-05,944.97,0.05,47.25
87,User_87,57,Israel,2023-11-03,461.33,0.13,59.97
88,User_88,58,France,2021-01-13,274.1,0.08,21.93
89,User_89,45,Canada,2023-04-02,86.7,0.17,14.74
90,User_90,64,Germany,2021-06-14,924.81,0.12,110.98
91,User_91,41,UK,2024-10-04,899.29,0.1,89.93
92,User_92,28,France,2024-05-26,884.26,0.13,114.95
93,User_93,66,Germany,2023-03-23,662.56,0.16,106.01
94,User_94,62,France,2022-11-05,652.03,0.06,39.12
95,User_95,31,France,2023-11-01,749.66,0.12,89.96
96,User_96,20,France,2022-05-11,178.92,0.18,32.21
97,User_97,44,France,2022-11-08,737.76,0.15,110.66
98,User_98,40,Canada,2020-11-05,852.96,0.06,51.18
99,User_99,27,UK,2020-09-29,197.05,0.18,35.47
100,User_100,64,Germany,2021-06-28,647.89,0.12,77.75
101,User_101,56,Japan,2023-02-26,419.05,0.17,71.24
102,User_102,47,Germany,2021-01-20,303.69,0.11,33.41
103,User_103,42,UK,2020-07-25,765.29,0.06,45.92
104,User_104,24,France,2021-02-20,754.47,0.05,37.72
105,User_105,20,France,2020-05-27,14.96,0.16,2.39
106,User_106,40,Japan,2024-09-19,909.22,0.12,109.11
107,User_107,36,UK,2023-09-12,847.98,0.05,42.4
108,User_108,34,India,2024-09-14,977.22,0.07,68.41
109,User_109,52,Germany,2022-10-11,273.25,0.16,43.72
110,User_110,26,Canada,2021-02-15,556.05,0.17,94.53
111,User_111,46,France,2022-05-07,556.26,0.07,38.94
112,User_112,39,Israel,2023-11-13,934.38,0.09,84.09
113,User_113,34,Germany,2024-10-29,236.19,0.14,33.07
114,User_114,23,Israel,2020-01-11,784.99,0.16,125.6
115,User_115,20,UK,2022-09-20,741.44,0.15,111.22
